Features,Weights
age_at_diagnosis,0.023342175066312996
smarcc2,0.005305039787798416
vegfa,0.004774535809018566
lymph_nodes_examined_positive,0.0037135278514588864
rheb,0.0037135278514588864
mmp2,0.0026525198938992522
rab25,0.0026525198938992522
hey1,0.002122015915119402
bmp4,0.002122015915119402
ncor1,0.002122015915119402
ccnd3,0.002122015915119402
nr3c1,0.002122015915119402
akr1c3,0.002122015915119402
brca2,0.0021220159151193797
fbxw7,0.0021220159151193797
tsc1,0.0021220159151193797
e2f3,0.0015915119363395513
jak2,0.0015915119363395513
ncstn,0.0015915119363395513
snw1,0.0015915119363395513
plagl1,0.0015915119363395513
arid1a,0.0015915119363395513
abcc1,0.0015915119363395513
map4,0.0015915119363395513
afdn,0.0015915119363395513
ahnak,0.0015915119363395513
akap9,0.0015915119363395513
ctnna3,0.0015915119363395513
nek1,0.0015915119363395513
palld,0.0015915119363395513
akt1,0.0015915119363395292
fgfr1,0.0015915119363395292
map2k3,0.0015915119363395292
ccne1,0.001061007957559723
cyp11b2,0.001061007957559723
e2f7,0.001061007957559701
heyl,0.001061007957559701
maml2,0.001061007957559701
rbpjl,0.001061007957559701
cxcr2,0.001061007957559701
gsk3b,0.001061007957559701
mmp27,0.001061007957559701
nfkb1,0.001061007957559701
arid1b,0.001061007957559701
hsd17b11,0.001061007957559701
hsd17b3,0.001061007957559701
prkci,0.001061007957559701
magea8,0.0010610079575596788
maml1,0.0005305039787798727
notch3,0.0005305039787798727
folr3,0.0005305039787798727
lipi,0.0005305039787798727
map3k13,0.0005305039787798727
sox9,0.0005305039787798727
src,0.0005305039787798504
cir1,0.0005305039787798504
hes5,0.0005305039787798504
ncor2,0.0005305039787798504
acvr2b,0.0005305039787798504
foxo3,0.0005305039787798504
gdf2,0.0005305039787798504
kras,0.0005305039787798504
map3k1,0.0005305039787798504
mapk9,0.0005305039787798504
mmp9,0.0005305039787798504
tgfbr2,0.0005305039787798504
wwox,0.0005305039787798504
ctcf,0.0005305039787798504
prkce,0.0005305039787798504
setd1a,0.0005305039787798504
stmn2,0.0005305039787798504
taf4b,0.0005305039787798504
pik3r3,0.0005305039787798504
ros1_mut,0.0005305039787798504
lamb3_mut,0.0005305039787798504
cdk4,4.4408920985006264e-17
